Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
VCVC,10X Capital Venture Acquisition Corp,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/vcvc
VCVCU,10X Capital Venture Acquisition Corp,n/a,n/a,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/vcvcu
TXG,"10x Genomics, Inc.",147.7,$15.78B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",6.84,$563.34M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",3.05,$15.12M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",23.36,n/a,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.72,$53.53M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",21.15,$1.36B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.2925,$45.32M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",31.48,$3.97B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),12.92,$132.27M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,31.92,$815.67M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",26.5,$3.52B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",39.55,$2.85B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 DigiTech, Inc.",12.07,$1.77B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,2.99,$112.11M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
FVAM,5:01 Acquisition Corp.,10.05,$104.12M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/fvam
JOBS,"51job, Inc.",73.5,$4.94B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",24.68,$502.83M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
EGHT,8x8 Inc,18.7,$1.99B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
NMTR,"9 Meters Biopharma, Inc.",0.723,$102.98M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
JFU,9F Inc.,1.27,$247.89M,2019,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
AAON,"AAON, Inc.",63.54,$3.32B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
ABCM,Abcam plc,20.09,$4.55B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/abcm
ABEO,Abeona Therapeutics Inc.,1.03,$87.32M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
ABMD,"ABIOMED, Inc.",272.21,$12.3B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.6,$13.53M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
ABST,Absolute Software Corporation,11.79,$575.09M,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/abst
ACIU,AC Immune SA,4.84,$347.23M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",68.44,$2.88B,2016,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.59,$176.91M,n/a,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
ASO,"Academy Sports and Outdoors, Inc.",17.5,$1.54B,2020,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aso
ACHC,"Acadia Healthcare Company, Inc.",38.29,$3.41B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,50.19,$7.97B,1985,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
ACAM,Acamar Partners Acquisition Corp.,10.13,$386.93M,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acam
ACAMU,Acamar Partners Acquisition Corp.,10.4433,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamu
ACAMW,Acamar Partners Acquisition Corp.,1.15,n/a,2019,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/acamw
ACST,"Acasti Pharma, Inc.",0.1817,$17.61M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",9.45,$532.56M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,113.44,$6.79B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
ACCD,"Accolade, Inc.",37.46,$2.06B,2020,n/a,n/a,https://old.nasdaq.com/symbol/accd
ARAY,Accuray Incorporated,2.89,$263.57M,2007,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
ACEV,ACE Convergence Acquisition Corp.,9.71,$279.16M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acev
ACEVU,ACE Convergence Acquisition Corp.,10,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevu
ACEVW,ACE Convergence Acquisition Corp.,0.67,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acevw
ACLL,"ACell, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/acll
ACRX,"AcelRx Pharmaceuticals, Inc.",1.45,$130.97M,2011,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,2.64,$31.45M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
ACHV,"Achieve Life Sciences, Inc. ",8.21,$29.45M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
ACIW,"ACI Worldwide, Inc.",33.08,$3.85B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
ACACU,Acies Acquisition Corp.,9.975,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/acacu
ACRS,"Aclaris Therapeutics, Inc.",4.12,$176.83M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",91.36,$1.65B,2017,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,21.74,$189.21M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
STWOU,ACON S2 Acquisition Corp.,9.99,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/stwou
ACOR,"Acorda Therapeutics, Inc.",0.8057,$38.65M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
ATVI,"Activision Blizzard, Inc",78.81,$60.91B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
AFIB,"Acutus Medical, Inc.",23.03,$640.84M,2020,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib
ADMS,"Adamas Pharmaceuticals, Inc.",3.45,$97.57M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,0.7249,$67.89M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
AHCO,AdaptHealth Corp. ,30,$2.53B,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
ADAP,Adaptimmune Therapeutics plc,5.21,$805.53M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
ADPT,Adaptive Biotechnologies Corporation,51.3,$6.97B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
ADXN,Addex Therapeutics Ltd,11.33,$50.52M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
ADUS,Addus HomeCare Corporation,107.59,$1.7B,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.83,$21.57M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
ADIL,"Adial Pharmaceuticals, Inc",1.83,$25.23M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
ADILW,"Adial Pharmaceuticals, Inc",0.2809,n/a,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
ACET,"Adicet Bio, Inc.",11.91,$233.31M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acet
ADTX,"ADiTx Therapeutics, Inc.",2,$18.92M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx
ADMA,ADMA Biologics Inc,1.91,$164.93M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
ADBE,Adobe Inc.,494.63,$237.28B,1986,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",12.19,$584.61M,1994,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
ADES,"Advanced Emissions Solutions, Inc.",4.5,$83.52M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",83.48,$3.2B,1995,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",85.88,$103.29B,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd
ADV,Advantage Solutions Inc. ,8.74,n/a,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/adv
ADVWW,Advantage Solutions Inc. ,1.2,n/a,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/advww
ADXS,"Advaxis, Inc.",0.37,$24.5M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
ADVM,"Adverum Biotechnologies, Inc.",12.02,$1.17B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,26.62,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dweq
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,33.4739,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwaw
DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,32.5683,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwus
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,24,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwmc
DWSH,AdvisorShares Dorsey Wright Short ETF,17.09,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dwsh
AEGN,Aegion Corp,14.04,$432.05M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",8.28,$369.29M,2016,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,1.27,$29.6M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",4.32,$90.84M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",10.56,$491.19M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",76.7,$1.85B,2007,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav
ARPO,"Aerpio Pharmaceuticals, Inc.",1.3,$54.69M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo
AIH,Aesthetic Medical International Holdings Group Ltd.,5.83,$137.66M,2019,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih
AEZS,AEterna Zentaris Inc.,0.3095,$19.4M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.49,$18.01M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aemd
AFMD,Affimed N.V.,3.42,$288.97M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
AFYA,Afya Limited,26.09,$2.43B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
AGBA,AGBA Acquisition Limited,10.35,$61.84M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agba
AGBAR,AGBA Acquisition Limited,0.2096,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
AGBAU,AGBA Acquisition Limited,10.5495,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
AGBAW,AGBA Acquisition Limited,0.1799,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
AGEN,Agenus Inc.,3.82,$700.75M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",2.92,$255.31M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",30.85,$727.79M,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",39.23,$2.71B,2013,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,14.2,$410.25M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,14.11,$7.69B,2008,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
AGNCM,AGNC Investment Corp.,22.4,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
AGNCN,AGNC Investment Corp.,23.13,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
AGNCO,AGNC Investment Corp.,21.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
AGNCP,AGNC Investment Corp.,21.73,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp
API,"Agora, Inc.",43.25,$17.17B,2020,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/api
AGFS,"AgroFresh Solutions, Inc.",2.26,$119.5M,2014,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
AIKI,AIkido Pharma Inc.,0.4991,$17.43M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/aiki
ALRN,"Aileron Therapeutics, Inc.",1.13,$45.06M,2017,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn
AIRT,"Air T, Inc.",9.83,$28.33M,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt
AIRTP,"Air T, Inc.",23.5,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtp
AIRTW,"Air T, Inc.",0.031,n/a,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtw
ATSG,"Air Transport Services Group, Inc",28.48,$1.7B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",12.8,$123.57M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg
ANTE,AirNet Technology Inc.,1.13,$14.2M,n/a,Technology,Advertising,https://old.nasdaq.com/symbol/ante
AKAM,"Akamai Technologies, Inc.",101.63,$16.54B,1999,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.67,$56.56M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx
AKBA,"Akebia Therapeutics, Inc.",2.38,$341.1M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba
KERN,Akerna Corp.,4.11,$57.78M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kern
KERNW,Akerna Corp.,0.6075,n/a,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/kernw
AKRO,"Akero Therapeutics, Inc.",28.85,$1B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro
AKER,Akers Biosciences Inc.,1.87,$16.31M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker
AKUS,"Akouos, Inc.",19.18,$659.23M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akus
AKTS,"Akoustis Technologies, Inc.",8.24,$318.29M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts
AKU,Akumin Inc.,3.57,$250.54M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aku
ALRM,"Alarm.com Holdings, Inc.",73.15,$3.58B,2015,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",3.05,$163.69M,1999,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk
ALAC,Alberton Acquisition Corporation,10.867,$159.63M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alac
ALACR,Alberton Acquisition Corporation,0.241,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacr
ALACU,Alberton Acquisition Corporation,12,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacu
ALACW,Alberton Acquisition Corporation,0.2901,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/alacw
ALBO,"Albireo Pharma, Inc.",32.84,$623.65M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo
ALDX,"Aldeyra Therapeutics, Inc.",6.68,$258.07M,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx
ALEC,"Alector, Inc.",11.37,$901.21M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec
ALRS,Alerus Financial Corporation,21.81,$373.43M,2019,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs
ALXN,"Alexion Pharmaceuticals, Inc.",125.26,$27.41B,1996,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",28.92,$216.66M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco
ALIT,Alight Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/alit
ALGN,"Align Technology, Inc.",477.85,$37.68B,2001,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn
ALGS,"Aligos Therapeutics, Inc.",15.09,$556.67M,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/algs
ALIM,"Alimera Sciences, Inc.",3.99,$20.08M,2010,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim
ALYA,Alithya Group inc.,2.56,$148.69M,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya
ALJJ,"ALJ Regional Holdings, Inc.",1.13,$47.66M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,17,$2.71B,1991,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks
ALLK,Allakos Inc.,99.27,$5.2B,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk
ABTX,"Allegiance Bancshares, Inc.",27.75,$566.98M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,137.97,$2.24B,2006,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt
ALGM,"Allegro MicroSystems, Inc.",24,$4.55B,2020,Technology,Semiconductors,https://old.nasdaq.com/symbol/algm
ALNA,"Allena Pharmaceuticals, Inc.",1.29,$49.17M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna
ARLP,"Alliance Resource Partners, L.P.",3.25,$413.38M,1999,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp
LNT,Alliant Energy Corporation,54.57,$13.63B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt
AESE,"Allied Esports Entertainment, Inc.",1.06,$37.24M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AHPI,"Allied Healthcare Products, Inc.",4.64,$18.62M,1992,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",40.05,$390.26M,n/a,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/amot
ALLO,"Allogene Therapeutics, Inc.",27.8,$3.87B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/allo
ALLT,Allot Ltd.,10.06,$354.24M,2006,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/allt
ALVR,"AlloVir, Inc.",33.61,$2.11B,2020,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alvr
MDRX,"Allscripts Healthcare Solutions, Inc.",11.23,$1.77B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/mdrx
ALNY,"Alnylam Pharmaceuticals, Inc.",130.73,$15.16B,2004,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,18.61,$472.36M,2010,Technology,Semiconductors,https://old.nasdaq.com/symbol/aosl
AHACU,Alpha Healthcare Acquisition Corp.,9.881,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/ahacu
GOOG,Alphabet Inc.,1761.75,$1191.69B,2004,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,1759.73,$1190.33B,n/a,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,22.5662,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",10.16,$789.41M,2006,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",7.95,$189.09M,2015,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alpn
ALTA,Altabancorp,22.74,$427.38M,2015,Finance,Major Banks,https://old.nasdaq.com/symbol/alta
ALTR,Altair Engineering Inc.,50.05,$3.66B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/altr
ATHE,Alterity Therapeutics Limited,1.24,$28.03M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/athe
AGCUU,Altimeter Growth Corp.,12.2,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/agcuu
ALT,"Altimmune, Inc.",12.45,$409.75M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,11.05,$172.93M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/asps
ALTU,Altitude Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/altu
ALTUU,Altitude Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/altuu
AIMC,Altra Industrial Motion Corp.,45.94,$2.97B,2006,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aimc
ALTM,Altus Midstream Company,29.25,$475.21M,2017,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/altm
ALXO,ALX Oncology Holdings Inc.,46,$1.7B,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxo
AMAG,"AMAG Pharmaceuticals, Inc.",13.72,$473.38M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amag
AMAL,Amalgamated Bank,11.05,$343.1M,2018,Consumer Non-Durables,Textiles,https://old.nasdaq.com/symbol/amal
AMRN,Amarin Corporation plc,4.28,$1.66B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",28.9,$203.31M,n/a,Basic Industries,Other Specialty Stores,https://old.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",3311.37,$1661.48B,1997,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",12.75,$584.07M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
AMBA,"Ambarella, Inc.",60.15,$2.08B,2012,Technology,Semiconductors,https://old.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,23.89,$985.2M,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/amcx
AMCI,AMCI Acquisition Corp.,10.24,$209.29M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amci
AMCIU,AMCI Acquisition Corp.,10.42,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciu
AMCIW,AMCI Acquisition Corp.,0.3398,n/a,2018,Finance,Business Services,https://old.nasdaq.com/symbol/amciw
DOX,Amdocs Limited,58.02,$7.72B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/dox
AMED,Amedisys Inc,268.56,$8.81B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/amed
AMTB,Amerant Bancorp Inc.,10.33,$435.51M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtb
AMTBB,Amerant Bancorp Inc.,8,$337.27M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/amtbb
UHAL,Amerco,384.96,$7.55B,n/a,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/uhal
AMRH,"Ameri Holdings, Inc.",1.29,$8.35M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrh
AMRHW,"Ameri Holdings, Inc.",0.0591,n/a,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrhw
ATAX,"America First Multifamily Investors, L.P.",3.82,$231.28M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",13.1501,$43.66B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",11.46,$5.83B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal
